Product Name,Category,Short Description,Full Description,Pack Size,Grind / Form,SKU,Selling Price (INR),MRP (INR incl. all taxes),Stock Qty,Shipping Weight (g),HSN Code,GST Rate (%),Net Quantity,Manufacturer or Packer Name,Manufacturer or Packer Full Address,Date of Manufacture or Packing,Best Before / Use By,Country of Origin,Consumer Care Name,Consumer Care Phone,Consumer Care Email,FSSAI Licence Number,Ingredients,Storage Instructions,Estate / Origin,Altitude (ft),Harvest Month,Roast Level,Image File Names
QTF Tea - Guard-Hitlow Tea Factory,Tea,"Tea from Guard-Hitlow Tea Factory, Koppa.",,,,qtf-tea-guard-hitlow-tea-factory,,,,,,,,The Mysore Plantations Limited,"Guard Hitlow, Post Box No 12, Koppa - 577126, Chikmagalur District, Karnataka, India",,,India,The Mysore Plantations Limited,,drjhrnd5@gmail.com,,,,,,,,tea-powder-1kg.png
Black Pepper,Whole Spices,Whole black pepper.,,100 g,,black-pepper-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-pepper.png
Cloves (Lavanga),Whole Spices,Whole cloves.,,100 g,,cloves-lavanga-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,"100g-clove.png,100ga-lavanga.png"
Green Cardamom,Whole Spices,Whole green cardamom pods.,,100 g,,green-cardamom-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-cardamom.png
Black Cardamom,Whole Spices,Whole black cardamom pods.,,100 g,,black-cardamom-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-black-cardamom.png
Nutmeg,Whole Spices,Whole nutmeg.,,100 g,,nutmeg-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-nutmeg.png
Jathipathri (Mace),Whole Spices,"Mace, the outer covering of the nutmeg.",,100 g,,jathipathri-mace-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-jathipathri.png
Chekke (Cinnamon Bark),Whole Spices,Cinnamon bark pieces.,,100 g,,chekke-cinnamon-bark-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-chekke.png
Star Anise,Whole Spices,Whole star anise.,,100 g,,star-anise-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-star-anise.png
Fennel Seed,Whole Spices,Whole fennel seed.,,100 g,,fennel-seed-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-fennel-seed.png
Shahi Jeera,Whole Spices,Shahi jeera (caraway).,,100 g,,shahi-jeera-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100-shahi-jeera.png
Kasturi Menthi,Whole Spices,Dried fenugreek leaves.,,100 g,,kasturi-menthi-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-kasturi-menthi.png
Marati Moggu,Whole Spices,"Kapok buds, used in Malnad and Kannada cooking.",,100 g,,marati-moggu-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-marati-moggu.png
Naga Kesari Moggu,Whole Spices,,,100 g,,naga-kesari-moggu-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-naga-kesari-moggu.png
Kalhoo,Whole Spices,,,100 g,,kalhoo-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-kalhoo.png
Mintiya,Whole Spices,,,100 g,,mintiya-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-mintiya.png
Palavele,Whole Spices,,,100 g,,palavele-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-palavele.png
Sasive (Mustard Seed),Whole Spices,Mustard seed.,,100 g,,sasive-mustard-seed-100-g,,,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-sasive.png
Swad Horanadu Bisibele Bath Powder,Masala & Powders,Spice blend for bisibele bath.,,250 g,,swad-horanadu-bisibele-bath-powder-250-g,,80,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",August 2026,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-bisibele-bath-powder.png
Swad Horanadu Garam Masala Powder,Masala & Powders,Garam masala blend.,,250 g,,swad-horanadu-garam-masala-powder-250-g,,200,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-garam-masala-powder.png
Swad Horanadu Palav Powder,Masala & Powders,Spice blend for palav.,,250 g,,swad-horanadu-palav-powder-250-g,,180,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-palav-powder.png
Swad Horanadu Puliyogare Powder,Masala & Powders,Spice blend for puliyogare.,,250 g,,swad-horanadu-puliyogare-powder-250-g,,180,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-puliyogare-powder.png
Swad Horanadu Rasam Powder,Masala & Powders,Spice blend for rasam.,,250 g,,swad-horanadu-rasam-powder-250-g,,180,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-rasam-powder.png
Swad Horanadu Sambar Powder,Masala & Powders,Spice blend for sambar.,,250 g,,swad-horanadu-sambar-powder-250-g,,180,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-sambar-powder.png
Horanadu Nellikai Powder,Masala & Powders,Amla (nellikai) powder from Horanadu.,,,,horanadu-nellikai-powder,,,,,,,,Annapoorneshwari Spices Powder Unit,"Kalasa, Horanadu - 577181, Chikmagalore, Karnataka, India",August 2026,12 months from the date of packing,India,Annapoorneshwari Spices Powder Unit,,drjhrnd5@gmail.com,21217055000117,,,,,,,nellikai-powder.png
Chia Seeds,Seeds,Chia seeds.,,,,chia-seeds,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,chia-seeds.png
Sabja Seeds,Seeds,Sabja (basil) seeds.,,,,sabja-seeds,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,sabja-seeds.png
Flax Seeds,Seeds,Flax seeds.,,,,flax-seeds,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,flax-seeds.png
Magaz Seeds,Seeds,Melon seed kernels.,,,,magaz-seeds,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,magaz-seeds.png
Pumpkin Seeds,Seeds,Pumpkin seed kernels.,,,,pumpkin-seeds,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,pumpkin-seeds.png
Sunflower Seeds,Seeds,Sunflower seed kernels.,,,,sunflower-seeds,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,sunflower-seeds.png
Badam (Almonds),Dry Fruits & Nuts,Almonds.,,500 g,,badam-almonds-500-g,,,,540,,,500 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,kg-badam.png
Pista (Pistachios),Dry Fruits & Nuts,"Pistachios, export quality.",,500 g,,pista-pistachios-500-g,,,,540,,,500 g,,,,,,,,drjhrnd5@gmail.com,,,,,,,,pista.png
Hayat Organic Raisins (Dry Grapes),Dry Fruits & Nuts,Organic raisins.,,500 g,,hayat-organic-raisins-dry-grapes-500-g,,,,540,,,500 g,Pahul Agro,,,12 months from the date of packing,India,Pahul Agro,,drjhrnd5@gmail.com,1111804000485,Kishmish,,,,,,dry-grapes.png
Dates,Dry Fruits & Nuts,Dates.,,,,dates,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,normal-dates.png
Special Dates,Dry Fruits & Nuts,Dates.,,,,special-dates,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,special-dates.png
Mixed Dry Fruits Gift Pack,Dry Fruits & Nuts,Assorted dry fruits in a gift pack.,,150 g,,mixed-dry-fruits-gift-pack-150-g,,150,,190,,,150 g,,,,,,,,drjhrnd5@gmail.com,,,,,,,,mixed-dry-fruits-gift-pack.png
Nisarga Amla Health Drink,Syrups & Squashes,Amla drink.,,700 ml,,nisarga-amla-health-drink-700-ml,,,,1025,,,700 ml,Malnad's Nisarga,,,,India,Malnad's Nisarga,,drjhrnd5@gmail.com,,,,,,,,amla-syrup-700ml.png
Malnad's Nisarga Banana Stem Squash,Syrups & Squashes,Banana stem squash.,,500 ml,,malnad-s-nisarga-banana-stem-squash-500-ml,,,,775,,,500 ml,Malnad's Nisarga,,,,India,Malnad's Nisarga,,drjhrnd5@gmail.com,,,,,,,,banana-stem-squash-500ml.png
Malnad's Nisarga Jamun Squash,Syrups & Squashes,Jamun (Indian blackberry) squash.,,700 ml,,malnad-s-nisarga-jamun-squash-700-ml,,,,1025,,,700 ml,Malnad's Nisarga,,,,India,Malnad's Nisarga,,drjhrnd5@gmail.com,,,,,,,,jamun-squash-700ml.png
Nanjangud Suruchi's Ginger Lime Syrup,Syrups & Squashes,Ginger and lime syrup.,,700 ml,,nanjangud-suruchi-s-ginger-lime-syrup-700-ml,,,,1025,,,700 ml,Nanjangud Suruchi's,"Sindhuvalli (Po), Nanjangud, Karnataka, India",,,India,Nanjangud Suruchi's,,drjhrnd5@gmail.com,,,,,,,,ginger-lime-syrup-700ml.png
Nanjangud Suruchi's Grapes Syrup,Syrups & Squashes,Grape syrup.,,700 ml,,nanjangud-suruchi-s-grapes-syrup-700-ml,,,,1025,,,700 ml,Nanjangud Suruchi's,"Sindhuvalli (Po), Nanjangud, Karnataka, India",,,India,Nanjangud Suruchi's,,drjhrnd5@gmail.com,,,,,,,,grapes-syrup-700ml.png
Nanjangud Suruchi's Jamboo Syrup,Syrups & Squashes,Jamboo syrup.,,700 ml,,nanjangud-suruchi-s-jamboo-syrup-700-ml,,,,1025,,,700 ml,Nanjangud Suruchi's,"Sindhuvalli (Po), Nanjangud, Karnataka, India",,,India,Nanjangud Suruchi's,,drjhrnd5@gmail.com,,,,,,,,jamboo-syrup-700ml.png
Nanjangud Suruchi's Sugarless Jamboo Syrup,Syrups & Squashes,Jamboo syrup made without added sugar.,,700 ml,,nanjangud-suruchi-s-sugarless-jamboo-syrup-700-ml,,,,1025,,,700 ml,Nanjangud Suruchi's,"Sindhuvalli (Po), Nanjangud, Karnataka, India",,,India,Nanjangud Suruchi's,,drjhrnd5@gmail.com,,,,,,,,sugarless-jamboo-syrup-700ml.png
Hallimane Kokam Syrup,Syrups & Squashes,Kokam syrup.,,700 ml,,hallimane-kokam-syrup-700-ml,,,,1025,,,700 ml,Hallimane,,,,India,Hallimane,,drjhrnd5@gmail.com,,,,,,,,kokam-syrup-700ml.png
Nanjangud Suruchi's Diabeat,Syrups & Squashes,Herbal decoction.,,700 ml,,nanjangud-suruchi-s-diabeat-700-ml,,,,1025,,,700 ml,Nanjangud Suruchi's,"Sindhuvalli (Po), Nanjangud, Karnataka, India",,,India,Nanjangud Suruchi's,,drjhrnd5@gmail.com,,,,,,,,diabeat-decoction-700ml.png
Aaradhya Pure Double Filtered Coconut Oil,Oils,Double filtered coconut oil. Hygienically processed cooking oil.,,500 ml,,aaradhya-pure-double-filtered-coconut-oil-500-ml,,,,650,,,500 ml,,,,,,,,drjhrnd5@gmail.com,,,,,,,,coconut-oil-liter.png
Aaradhya Pure Double Filtered Coconut Oil,Oils,,,1 l,,aaradhya-pure-double-filtered-coconut-oil-1-l,,,,1150,,,1 l,,,,,,,,drjhrnd5@gmail.com,,,,,,,,coconut-oil-1-liter.png
Kalpatharu Special Double Filtered Pure Coconut Oil,Oils,Double filtered coconut oil.,,1.720 kg,,kalpatharu-special-double-filtered-pure-coconut-oil-1-720-kg,,,,1970,,,1.72 kg,Ganesh Flour & Oil Mill,"College Road, Ujire - 574240, Dakshina Kannada, Karnataka, India",May 2026,6 months,India,Ganesh Flour & Oil Mill,9480289125,drjhrnd5@gmail.com,11219312000310,,,,,,,coconut-oil-2-litres.png
Ghani-Pressed Copra Coconut Oil,Oils,Wood-pressed (ghani) coconut oil from copra.,,1 l,,ghani-pressed-copra-coconut-oil-1-l,,450,,1150,,,1 l,Shree Durga Industries,"Vijaya Nagar, Madanthyar - 574224, Karnataka, India",September 2026,12 months from the date of packing,India,Shree Durga Industries,+91 94481 89468,srdurgaindustries2007@gmail.com,11221312000760,,,,,,,cold-pressed-coconut-oil-1-liter.png
Antuvala (Soapnut) Powder,Home & Personal Care,"Soapnut powder, for washing hair.",,200 g,,antuvala-soapnut-powder-200-g,,110,,240,,,200 g,Annapoorneshwari Spices & Malnad Specials,"Kalasa, Horanadu - 577181, Chikmagalore, Karnataka, India",July 2026,12 months,India,Annapoorneshwari Spices & Malnad Specials,094487 44341,drjhrnd5@gmail.com,2127055000011,,,,,,,antvala-powder.png
Sikakai (Shikakai) Powder,Home & Personal Care,"Shikakai powder, for washing hair.",,200 g,,sikakai-shikakai-powder-200-g,,120,,240,,,200 g,Annapoorneshwari Spices & Malnad Specials,"Kalasa, Horanadu - 577181, Chikmagalore, Karnataka, India",August 2026,12 months,India,Annapoorneshwari Spices & Malnad Specials,094487 44341,drjhrnd5@gmail.com,2127055000011,,,,,,,sikakai-powder.png
Soapnut (Whole),Home & Personal Care,"Whole soapnuts, for washing.",,,,soapnut-whole,,,,,,,,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,sope-nut.png
